step,clean,noise,drop,both
334000,35.0,30.0,35.0,65.0
336000,50.0,55.0,35.0,40.0
338000,50.0,15.0,40.0,60.0
340000,30.0,45.0,25.0,40.0
342000,45.0,35.0,45.0,40.0
344000,40.0,45.0,35.0,30.0
346000,45.0,55.0,45.0,35.0
348000,40.0,40.0,40.0,35.0
350000,35.0,25.0,50.0,60.0
352000,40.0,50.0,40.0,50.0
354000,50.0,30.0,45.0,45.0
356000,40.0,55.0,55.0,50.0
358000,30.0,45.0,35.0,40.0
360000,45.0,35.0,35.0,40.0
362000,40.0,40.0,45.0,35.0
364000,60.0,50.0,45.0,20.0
366000,45.0,25.0,50.0,55.0
368000,50.0,40.0,45.0,25.0
370000,45.0,40.0,35.0,40.0
372000,25.0,30.0,25.0,45.0
374000,70.0,45.0,60.0,25.0
376000,50.0,35.0,60.0,35.0
378000,75.0,60.0,50.0,25.0
380000,40.0,50.0,50.0,35.0
382000,30.0,45.0,60.0,50.0
384000,50.0,40.0,40.0,30.0
386000,45.0,50.0,50.0,50.0
388000,65.0,60.0,45.0,25.0
390000,35.0,15.0,55.0,25.0
392000,55.0,70.0,55.0,45.0
394000,35.0,35.0,40.0,40.0
396000,40.0,25.0,40.0,35.0
398000,45.0,30.0,50.0,35.0
400000,50.0,45.0,60.0,20.0
402000,60.0,50.0,,35.0
404000,40.0,45.0,,35.0
406000,45.0,20.0,,
408000,45.0,,,
410000,50.0,,,
412000,45.0,,,
414000,60.0,,,
416000,45.0,,,
418000,35.0,,,
420000,55.0,,,
422000,30.0,,,
424000,15.0,,,
426000,35.0,,,
428000,30.0,,,
430000,40.0,,,
432000,65.0,,,
